"LocationFindLocationLatitude","LocationFindLocationLongitude"
-39.612241,176.96391
-40.2929118,175.215257
-36.95817,174.468142
-43.5974993,172.7455836
-39.49874121,176.901859
-35.46535198,173.4599352
-36.8952002,174.9504644
-35.615442,174.535847
-35.65986299,174.3828179
-39.019207,174.145682
-36.460504,175.3956666
-41.0890989,174.8817182
-36.32585,174.784833
-38.142868,176.224237
-41.7331672,174.2829425
-45.904466,170.549144
-36.8289495,174.7981
-44.602919,169.653277
-36.8416692,174.8583374
-38.142868,176.224237
-41.30930797,174.7810293
-38.038634,176.35258
-39.25781318,175.555562
-43.76818526,171.6947779
-43.56154662,172.7380209
-39.435212,175.39033
NA,NA
-41.309438,174.805016
-46.565862,168.472662
-38.72030035,176.8003523
-45.87896127,170.5097636
-42.0000223,171.8395304
-37.94781212,175.7529985
-39.06441,174.026128
-43.443573,172.504323
-46.44318441,169.5165869
-36.581007,174.695072
-45.8280299,170.5536878
-41.770697,172.626221
-37.6698893,175.1449023
-44.243644,169.866574
-44.726858,168.170086
-45.009064,168.612596
-37.736148,175.8621347
-43.50741902,172.7327872
-45.91739888,170.4861339
-40.866665,174.9833342
-45.03192307,168.6519805
-45.524431,167.903366
-39.4822152,176.8902876
-43.5240936,172.6829191
-41.331225,174.769896
-42.421663,173.7674959
-36.46666628,174.9333323
-43.41971442,170.1702181
-35.770071,174.479604
-37.94841081,176.1517692
-38.739957,176.159652
-41.2723087,173.2509836
-36.827917,174.423769
-46.4754657,169.6787654
-38.6758509,176.6989931
-39.17195463,176.410031
-40.35941418,175.5923506
-36.8786783,174.8122129
-41.276052,174.904502
-37.598207,176.06368
-37.028668,174.5693389
-39.27747314,174.0676316
-40.253029,175.296782
-37.133303,174.698919
-41.304497,174.833123
-37.7856849,175.2818236
-37.2432254,174.742951
-37.7253161,175.2239001
-41.10679985,174.9657632
-36.968684,174.456282
-36.28333384,174.8166619
-41.2907618,173.2174825
-38.14735102,176.2400525
-36.767639,174.765688
-41.233181,174.89968
-39.3160504,174.0741685
-37.3764591,175.6812185
-43.49097989,172.7225822
-41.35378535,174.8495292
-37.787214,175.276119
-37.06660206,175.0889987
-36.94911,174.666213
-43.49419256,172.6028923
-40.32566553,175.2001679
-45.75135188,170.3257123
-43.56723778,172.6419151
-43.15660801,172.7601753
-34.99382,173.502406
-36.9366652,175.1605011
-36.922201,174.726734
-35.10340478,173.4783235
-40.912434,175.005572
-37.1662759,175.3165827
-39.28512,175.567136
-36.8600856,174.7242591
-41.3053314,174.8515035
-36.303419,174.80396
-37.632557,176.187112
-36.996686,175.850159
-39.2585875,175.5715358
-36.930243,174.6702518
-45.347633,168.598468
-45.6527855,167.6606894
-36.5975534,174.707364
-41.523879,173.244519
-44.517831,168.2666686
-36.86454209,174.9012483
-45.906316,170.522957
